Year,Month,Day,Rise,Set,
2021,1,1,07:59,16:34,
2021,2,1,07:38,17:15,
2021,3,1,06:52,17:58,
2021,4,1,05:51,18:43,
2021,5,1,04:56,19:25,
2021,6,1,04:19,20:02,
2021,7,1,04:19,20:14,
2021,8,1,04:50,19:48,
2021,9,1,05:30,18:54,
2021,10,1,06:10,17:54,
2021,11,1,06:55,16:57,
2021,12,1,07:38,16:25,
2022,1,1,07:59,16:34,
2022,2,1,07:38,17:15,
2022,3,1,06:52,17:58,
2022,4,1,05:51,18:43,
2022,5,1,04:56,19:25,
2022,6,1,04:19,20:02,
2022,7,1,04:19,20:14,
2022,8,1,04:50,19:48,
2022,9,1,05:30,18:54,
2022,10,1,06:10,17:54,
2022,11,1,06:55,16:57,
2022,12,1,07:38,16:25,
2023,1,1,07:59,16:34,
2023,2,1,07:38,17:15,
2023,3,1,06:52,17:58,
2023,4,1,05:51,18:43,
2023,5,1,04:56,19:25,
2023,6,1,04:19,20:02,
2023,7,1,04:19,20:14,
2023,8,1,04:50,19:48,
2023,9,1,05:30,18:54,
2023,10,1,06:10,17:54,
2023,11,1,06:55,16:57,
2023,12,1,07:38,16:25,
