Agrostis agrostiflora,Alchemilla vulgaris agg.,Anthoxanthum alpinum,Avenula versicolor,Campanula scheuchzeri,Festuca nigricans,Gentiana punctata,Geranium sylvaticum,Geum montanum,Homogyne alpina,Leontodon hispidus,Luzula alpino-pilosa,Persicaria vivipara,Potentilla aurea,Ranunculus villarsii,Rhododendron ferrugineum,Salix helvetica,Scorzoneroides helvetica,Silene vulgaris,Solidago virgaurea subsp. minuta,Thesium alpinum,Vaccinium gaultherioides,Vaccinium myrtillus,Viola biflora,Carex curvula subsp. curvula,Cerastium uniflorum,Festuca halleri agg.,Leucanthemopsis alpina,Luzula spicata,Minuartia sedoides,Oreochloa disticha,Pedicularis aspleniifolia,Primula glutinosa,Saxifraga bryoides,Sedum alpestre,Silene acaulis subsp. exscapa,Veronica alpina,Agrostis rupestris,Cardamine resedifolia,Gnaphalium supinum,Poa alpina,Poa laxa,Salix herbacea,Androsace alpina,Erigeron uniflorus,Gentiana bavarica,Ranunculus glacialis,Sagina saginoides,Saxifraga exarata,Saxifraga seguieri,Deschampsia cespitosa subsp. cespitosa,Phyteuma hemisphaericum,Campanula barbata subsp. barbata,Carex sempervirens,Cerastium alpinum s. str.,Gentiana acaulis,Lotus corniculatus,Luzula alpina,Luzula lutea,Mutellina adonidifolia,Myosotis alpestris,Nardus stricta,Pulsatilla alpina subsp. apiifolia,Pyrola minor,Rhinanthus glacialis,Selaginella selaginoides,Trifolium pallescens,Trifolium pratense subsp. pratense,Arenaria biflora,Minuartia gerardii,Saxifraga moschata,Euphrasia minima,Geum reptans,Achillea moschata,Agrostis alpina,Hieracium alpinum s. lat.,Potentilla frigida,Sempervivum montanum s. str.,Veronica bellidioides,Saxifraga oppositifolia s. str.,Epilobium anagallidifolium,Oxyria digyna,Antennaria carpatica,Poa nemoralis,Avenella flexuosa,Primula minima,Soldanella pusilla,Primula hirsuta,Sibbaldia procumbens,Linaria alpina subsp alpina,Juncus trifidus,Hieracium sp.,Juncus jacquinii,Doronicum clusii subsp. clusii,Senecio incanus subsp. carniolicus,Bartsia alpina,Kobresia myosuroides,Pulsatilla vernalis,Thymus praecox subsp. polytrichus,Vaccinium vitis-idaea,Gentiana brachyphylla,Gymnocarpium dryopteris,Calluna vulgaris,Loiseleuria procumbens,Euphrasia sp.,Calamagrostis villosa,Juniperus communis subsp. nana,Bellidiastrum michelii,Crepis aurea,Crocus albiflorus,Phleum alpinum agg.,Luzula luzuloides,Melampyrum sylvaticum,Cirsium spinosissimum,Taraxacum sp.,Carex frigida,Carex nigra,Pseudorchis albida subsp. albida,Hieracium glanduliferum,Artemisia mutellina,Arnica montana,Festuca nigrescens,Phyteuma betonicifolium,Botrychium lunaria,Carex ferruginea,Dryopteris dilatata,Peucedanum ostruthium,Clematis alpina,Pedicularis tuberosa,Androsace obtusifolia,Cerastium fontanum s. str.,Gentiana nivalis,Trifolium badium,Trifolium alpinum,Cerastium cerastoides,Poa supina,Coeloglossum viride,Carex aterrima,Hieracium pilosella agg.,Astragalus frigidus,Trollius europaeus,Salix breviserrata,Saussurea alpina,Trisetum spicatum,Draba fladnizensis,Empetrum hermaphroditum,Parnassia palustris,Draba dubia,Achillea millefolium,Ajuga pyramidalis,Belardiochloa variegata,Briza media,Carex ornithopoda,Carlina acaulis subsp. acaulis,Euphorbia cyparissias,Galium anisophyllon,Potentilla grandiflora,Silene nutans subsp. nutans,Trifolium repens,Veronica chamaedrys subsp. micans,Cerastium arvense subsp. strictum,Cuscuta epithymum,Rumex scutatus,Veronica officinalis,Maianthemum bifolium,Potentilla erecta,Helianthemum nummularium subsp. grandiflorum,Luzula multiflora s. lat.,Luzula sudetica,Platanthera bifolia,Senecio doronicum s. str.,Atocion rupestre,Chaerophyllum villarsii,Phyteuma orbiculare,Festuca sp.,Pimpinella saxifraga subsp. saxifraga,Rubus idaeus,Scabiosa lucida subsp. lucida,Valeriana officinalis subsp. tenuifolia,Cryptogramma crispa,Hieracium murorum,Allium lusitanicum,Laserpitium halleri,Ranunculus acris subsp. acris,Poa chaixii,Thymus sp.,Aster alpinus,Hieracium hoppeanum subsp. hoppeanum,Veronica fruticans,Dactylis glomerata subsp. glomerata,Prunella vulgaris,Trifolium sp.,Gentiana sp.,Orchis sp.,Cerastium sp.,Thymus pulegioides subsp. pulegioides,Euphrasia officinalis subsp. picta,Lilium martagon,Arenaria ciliata s. str.,Lloydia serotina,Salix retusa s. str.,Huperzia selago,Alchemilla alpina,Pedicularis kerneri,Hypochaeris uniflora,Gentianella campestris,Nigritella rhellicani,Pinguicula leptoceras,Antennaria dioica,Oxytropis campestris,Saxifraga paniculata,Polystichum lonchitis,Adenostyles alliariae,Equisetum arvense,Tofieldia pusilla,Trichophorum cespitosum subsp. cespitosum,Salix serpyllifolia,Festuca norica,Cystopteris alpina,Saxifraga aizoides,Willemetia stipitata subsp. stipitata,Pinus mugo,Potentilla crantzii,Carex brunnescens,Saxifraga stellaris subsp. robusta,Rumex alpestris,Pedicularis recutita,Diphasiastrum alpinum,Asplenium viride,Epilobium sp.,Dryopteris filix-mas s. str.,Salix glaucosericea,Anthyllis vulneraria,Dryas octopetala,Arctostaphylos uva-ursi,Hieracium intybaceum,Saxifraga aspera,Carex capillaris,Juncus triglumis,Cerastium pedunculatum,Arabis alpina subsp. alpina,Agrostis stolonifera,Viola palustris,Veronica serpyllifolia subsp. humifusa,Salix reticulata,Lycopodium annotinum,Carex echinata,Hypericum maculatum s. str.,Cardamine alpina,Salix appendiculata,Epilobium nutans,Tussilago farfara
1.7320508075688772,1,1.7320508075688772,1,0.1,1.7320508075688772,1.7320508075688772,1.7320508075688772,1.7320508075688772,1,1,1,0.1,1,1,6.164414002968976,1.7320508075688772,1.7320508075688772,1,4.47213595499958,1,3.1622776601683795,1.7320508075688772,1.7320508075688772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3.1622776601683795,1,1,3.1622776601683795,1,1.7320508075688772,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0,0,1,0.1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.47213595499958,0,0,0.1,0,0,0,0,3.1622776601683795,0,1,1,0,0,1,0,1,0,0.1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1.7320508075688772,1,1,0,0,0,0,4.47213595499958,3.1622776601683795,0,1.7320508075688772,1.7320508075688772,1.7320508075688772,0,0,1.7320508075688772,0,0,0,0,0,0,0.1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7320508075688772,0,0,0,0,0.1,0,0,0,0,1.7320508075688772,1,0.1,1,1.7320508075688772,1,1,1,1,4.47213595499958,1.7320508075688772,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1.7320508075688772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3.1622776601683795,0,1.7320508075688772,3.1622776601683795,1,0,3.1622776601683795,1,0,0,1,1.7320508075688772,0,0,0,1,1,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7320508075688772,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.1,1,0,0,0,0,1.7320508075688772,0,0,1,1,0,0,1,0,3.1622776601683795,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7320508075688772,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.47213595499958,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1622776601683795,0,1.7320508075688772,0,0,0,0,0,0,0.1,0,1,0,1,0.1,1,1.7320508075688772,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
